monument,distance_km,trip_days,travelers,hotel_type,transport_mode,season,total_budget
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,945,5,6,Budget,Bus,Summer,19823
"Ruined Fort, kangra",1633,6,2,Luxury,Bus,Winter,50341
"Champaner Monuments, Pavagadh",697,8,3,Budget,Train,Summer,21030
Cooch Bihar Palace,509,2,4,Standard,Train,Monsoon,7385
Warangal,2249,5,2,Luxury,Car,Winter,54992
Hazarduari Palace,2319,8,2,Standard,Car,Monsoon,32440
Tughluqabad,650,6,1,Standard,Bus,Winter,21574
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,441,1,5,Luxury,Train,Winter,11053
Nagarjuna Kunda,188,7,2,Budget,Train,Summer,13984
Kalinjar Fort,1898,6,2,Budget,Car,Summer,23671
Charminar,1677,3,7,Standard,Car,Summer,26558
"Kolaba Fort, Alibag",1481,8,3,Budget,Bus,Summer,21612
Dariya Daulath Bagh,113,7,6,Standard,Car,Monsoon,28871
Purana Qila,667,2,4,Budget,Car,Monsoon,8208
Amaravati mahastupa,1982,8,6,Budget,Bus,Monsoon,25936
"Moovarkoil, Kodumbalur",382,3,5,Standard,Bus,Winter,17495
Warangal,345,5,1,Budget,Train,Monsoon,5815
Aga  Khan Palace Building,646,6,4,Budget,Car,Monsoon,17495
Safdarjung Tomb,668,1,5,Standard,Car,Winter,11514
Purana Qila,2311,6,5,Budget,Car,Winter,40803
Ellora Caves,2383,5,7,Budget,Train,Monsoon,22331
"Group of monument, Royal Palace Mandu",383,4,7,Luxury,Train,Summer,35233
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1605,7,6,Standard,Train,Monsoon,32251
Ellora Caves,917,6,3,Luxury,Train,Winter,52583
"Gingee Fort , Gingee",2349,4,5,Budget,Car,Winter,34177
Bellary Fort,2005,1,7,Luxury,Train,Monsoon,12464
Humayun Tomb,1148,8,2,Standard,Train,Monsoon,24471
Keshava Temple,277,8,2,Luxury,Car,Winter,62656
Fortress and Temple Chitrudurga Fort,1400,3,7,Luxury,Bus,Winter,34662
Suraj Kund,120,7,2,Standard,Train,Winter,26872
Nagarjuna Kunda,1658,6,6,Budget,Bus,Summer,25049
Fortress and Temple Chitrudurga Fort,349,3,6,Standard,Car,Summer,16453
Residency Building,1529,2,6,Budget,Bus,Monsoon,8903
Mariam tomb Sikandra,1121,2,1,Budget,Bus,Winter,6088
"Bekal Fort, Pallikkare, Distt. Kasargod",1012,2,5,Standard,Bus,Summer,10876
Hoshang Shah's Tomb,696,5,7,Standard,Train,Winter,34181
Daulatabad Fort,1250,9,5,Budget,Train,Winter,37156
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1440,5,6,Luxury,Car,Monsoon,41945
"Group of monument, Royal Palace Mandu",793,3,1,Standard,Bus,Monsoon,9111
"Champaner Monuments, Pavagadh",1711,9,5,Luxury,Bus,Monsoon,60729
Kumbhalgarh Fort,1767,4,6,Budget,Car,Monsoon,20471
Ruins of Buddhist Temples and Images lalitgiri,1680,2,6,Luxury,Bus,Winter,23710
Cooch Bihar Palace,1272,9,6,Budget,Train,Monsoon,29664
Dariya Daulath Bagh,126,2,3,Luxury,Bus,Summer,14887
mattancherry Palace Museum Kochi,761,3,2,Budget,Train,Summer,8282
Tomb of Rabia Durani (Bibi ka Maqbara),1647,5,1,Luxury,Bus,Summer,32840
Cooch Bihar Palace,869,7,6,Luxury,Car,Summer,62343
"Ruined Fort, kangra",321,7,2,Luxury,Car,Summer,46176
Temple of Laxman and Old sites including sculptures sirpur,876,2,5,Budget,Train,Monsoon,6967
Buddhist Caves Kanheri,1089,8,4,Standard,Train,Monsoon,29108
Shaniwarwada,211,8,5,Luxury,Train,Monsoon,50394
"Buddhish Caves, Junagadh",1194,5,6,Budget,Train,Winter,25157
Golconda,1419,6,1,Budget,Bus,Summer,10724
Agra Fort,2406,7,7,Luxury,Bus,Winter,78062
Ancient Remains on both Udaigiri & Khandagiri Hills,400,3,3,Standard,Car,Monsoon,10342
Purana Qila,2149,7,5,Standard,Bus,Winter,42973
Jantar Mantar,2113,5,3,Luxury,Car,Monsoon,39651
Warangal,1572,2,5,Budget,Train,Monsoon,9759
Mariam tomb Sikandra,706,5,6,Luxury,Bus,Monsoon,35072
Ancient Buddhist Site known as Chaukhandi stupa,1822,5,5,Standard,Train,Monsoon,22936
"Western Group of Temples, Khajuraho",632,3,7,Luxury,Bus,Summer,27765
"Gingee Fort , Gingee",2382,4,4,Luxury,Train,Winter,44418
Golconda,2194,8,1,Budget,Bus,Summer,15882
"Fort St. Angelo, Kannur",1920,7,4,Luxury,Car,Summer,63155
"Gupta Temple & Varah Temple, Deogarh",941,1,3,Standard,Train,Winter,7748
Undavalli caves,2455,6,4,Budget,Car,Monsoon,25654
"Natural Caven with inscription eladipattam, Sittannavasal",757,6,6,Budget,Train,Winter,28660
"Sun temple, Modhera",2424,2,5,Luxury,Train,Monsoon,19022
Group of Monuments (WH) Pattadakal,2498,4,5,Budget,Bus,Winter,20682
Buddhist Caves,1464,8,7,Standard,Bus,Summer,45795
"Old Fort, Sholapur",527,6,5,Budget,Train,Winter,24898
Metcelf-Hall,1767,3,6,Standard,Train,Summer,21525
Pandulena Caves,449,4,3,Luxury,Car,Summer,29684
"Buddhist Remains on hill top at Guntupalli, W.G.District",1093,1,1,Budget,Train,Summer,5977
"Old Fort, Sholapur",1322,4,7,Budget,Car,Summer,25308
mattancherry Palace Museum Kochi,2208,5,7,Luxury,Train,Winter,59160
Ruins of Buddhist Temples and Images lalitgiri,483,8,7,Luxury,Bus,Summer,69996
Itimad-ud-Daulah-Tomb,1652,5,1,Luxury,Train,Summer,35332
Kotla Feroz Shah,1294,8,6,Standard,Train,Winter,51104
"Gupta Temple & Varah Temple, Deogarh",1226,7,6,Budget,Train,Monsoon,23921
Kotla Feroz Shah,125,9,3,Budget,Car,Summer,20427
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",2457,1,6,Budget,Train,Summer,12200
Khan-I-Khana,340,6,2,Luxury,Train,Summer,38747
"Gupta Temple & Varah Temple, Deogarh",2453,4,6,Luxury,Car,Winter,57930
"Asokan Rock Edict, Jungadh",1796,6,1,Budget,Bus,Summer,12769
"Ranghar Pavillion, Jaisagar",759,4,1,Luxury,Bus,Monsoon,20828
"Bekal Fort, Pallikkare, Distt. Kasargod",722,9,6,Luxury,Bus,Monsoon,60957
Gawilgarh Fort,2051,6,4,Budget,Car,Winter,34840
"Rock-cut Jain Temple, Sittannavasasl",2107,5,1,Budget,Bus,Monsoon,10352
"Sun Temple, Konark",1688,1,3,Standard,Bus,Monsoon,5348
Observatory of Man Singh,819,7,3,Luxury,Bus,Winter,58255
Excavated Remains at Nalanda,2388,5,1,Luxury,Train,Summer,38580
Charminar,1975,7,4,Luxury,Bus,Monsoon,45858
Suraj Kund,2361,2,4,Luxury,Car,Monsoon,25114
Agra Fort,491,1,6,Luxury,Car,Summer,12337
"Old Fort (Shahi Fort), Jaunpur",905,1,2,Budget,Bus,Summer,3561
"Gingee Fort , Gingee",648,5,4,Standard,Car,Winter,29649
Sultanghari Tomb,1107,8,2,Budget,Bus,Summer,16611
"Fort, Palakkad, Palakkad",1199,8,4,Standard,Train,Winter,43365
"Asokan Rock Edict, Jungadh",963,8,2,Luxury,Car,Winter,67850
"Fort St. Angelo, Kannur",1646,8,7,Luxury,Bus,Monsoon,59671
Buddhist Caves Kanheri,2048,7,5,Budget,Car,Winter,42402
Undavalli caves,2417,7,4,Budget,Train,Monsoon,22360
Upper Fort Aguada,979,1,3,Standard,Train,Winter,8676
Keshava Temple,103,5,2,Standard,Bus,Summer,15337
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,1431,4,2,Standard,Train,Monsoon,14605
Humayun Tomb,596,7,7,Budget,Car,Summer,32142
Nagarjuna Kunda,1811,8,3,Standard,Car,Summer,40519
Tomb of Lal Khan,2208,2,2,Budget,Car,Summer,18267
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",441,8,1,Budget,Train,Monsoon,9245
"Fort St. Angelo, Kannur",1622,6,1,Luxury,Train,Summer,41086
"Caves, Temples and inscriptions Karla",548,9,7,Standard,Bus,Summer,49815
Group of Monuments (WH) Pattadakal,167,8,6,Budget,Train,Summer,28058
"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",254,3,4,Luxury,Train,Summer,23137
Warangal,2261,4,7,Luxury,Car,Winter,58343
Dariya Daulath Bagh,2401,5,7,Luxury,Bus,Summer,48755
Observatory of Man Singh,1720,9,1,Standard,Car,Monsoon,28122
Sultanghari Tomb,2482,3,7,Budget,Train,Winter,24399
Ancient Buddhist Site known as Chaukhandi stupa,1674,3,6,Budget,Car,Winter,25254
"Buddhish Caves, Junagadh",408,4,5,Budget,Bus,Monsoon,10936
"Cave, Temple and Inscriptions, Junaar, Lenyadri",1661,4,3,Budget,Bus,Winter,14672
Nagarjuna Kunda,1025,8,2,Luxury,Car,Winter,69010
Excavated Remains at sarnath,2478,9,7,Budget,Car,Winter,62397
Amaravati mahastupa,1413,8,6,Standard,Bus,Monsoon,33867
"Fort Museum, Thirumayam",2140,7,5,Luxury,Train,Monsoon,49189
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,1306,6,7,Budget,Bus,Summer,27933
Itimad-ud-Daulah-Tomb,1874,7,7,Budget,Bus,Winter,38285
Qutub Minar,2080,4,3,Standard,Bus,Monsoon,15122
"Kolaba Fort, Alibag",2278,2,2,Luxury,Car,Monsoon,22444
"Palace Complex at Ramnagar, Distt. Udhampur",2379,3,4,Luxury,Bus,Winter,31910
Sher Shah's Tomb,443,9,4,Budget,Train,Winter,30050
Observatory of Man Singh,475,4,3,Standard,Car,Monsoon,14304
Gawilgarh Fort,713,6,1,Standard,Car,Monsoon,17560
Site of Sahet mahet,2246,2,7,Budget,Car,Monsoon,18272
Tirumalai Nayak's Palace Srivilliputhur,235,1,5,Standard,Car,Summer,7145
Taj Mahal,1863,6,4,Budget,Car,Winter,34239
Chandragiri Monument,805,4,5,Standard,Bus,Summer,19323
"Buddhist Remains on hill top at Guntupalli, W.G.District",917,9,1,Budget,Bus,Summer,14654
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1298,3,7,Standard,Car,Winter,29722
Ancient Site of Vikramshila Antichak,674,4,3,Budget,Bus,Winter,13485
Ancient Remains on both Udaigiri & Khandagiri Hills,1866,7,1,Standard,Bus,Monsoon,19494
"Old Fort (Shahi Fort), Jaunpur",2338,6,4,Luxury,Train,Summer,52280
"Fort, Palakkad, Palakkad",2050,5,1,Luxury,Bus,Winter,40777
"Palace Complex at Ramnagar, Distt. Udhampur",522,8,7,Budget,Car,Winter,40938
Nagarjuna Kunda,1062,8,7,Luxury,Car,Winter,89739
Metcelf-Hall,242,6,6,Budget,Train,Winter,25618
"The palace situated in the fort, Burhanpur",1170,7,7,Standard,Bus,Winter,46446
Fort Vattakottai,1898,1,3,Standard,Bus,Winter,10002
"Champaner Monuments, Pavagadh",886,3,1,Budget,Car,Winter,11723
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1935,5,7,Budget,Bus,Winter,28223
"Asokan Rock Edict, Jungadh",1749,4,3,Budget,Bus,Summer,13767
Mausoleum,764,6,3,Budget,Car,Summer,18415
Tughluqabad,2273,5,5,Budget,Bus,Summer,20294
"Group of monument, Royal Palace Mandu",251,2,7,Budget,Car,Winter,10780
Kondiote Caves,1946,3,6,Luxury,Car,Monsoon,30046
Agra Fort,2271,7,7,Budget,Train,Monsoon,28223
"Fort St. Angelo, Kannur",689,6,3,Standard,Car,Monsoon,22190
Tomb of Lal Khan,1664,8,3,Luxury,Car,Monsoon,54466
Itimad-ud-Daulah-Tomb,1123,2,6,Luxury,Bus,Winter,23114
Hoshang Shah's Tomb,1981,2,3,Standard,Train,Summer,14235
"Asokan Rock Edict, Jungadh",279,7,5,Budget,Bus,Summer,23110
Rani Jhansi Fort,2241,3,1,Standard,Train,Winter,18238
Aurangabad Caves,609,9,2,Standard,Car,Summer,32159
"Sun Temple, Konark",2291,8,2,Budget,Train,Winter,25828
Itimad-ud-Daulah-Tomb,835,9,1,Luxury,Train,Summer,57084
Excavated Remains at sarnath,1869,8,1,Luxury,Car,Summer,59999
"Gupta Temple & Varah Temple, Deogarh",193,7,7,Standard,Bus,Summer,38521
Charminar,726,4,5,Standard,Train,Winter,23576
"Janjira Fort, Murd",2171,6,1,Standard,Car,Winter,35390
Dariya Daulath Bagh,574,9,4,Standard,Bus,Winter,44274
Charminar,618,6,2,Standard,Car,Summer,22587
Golconda,121,3,3,Budget,Bus,Summer,6674
"Jaina & Vaishnava Cave, Badami",1053,7,5,Luxury,Car,Summer,60433
Group of Monuments (WH) Pattadakal,1822,1,7,Budget,Train,Monsoon,8519
Caves 1 t0 20 Udaygiri Vidisha,1723,1,5,Standard,Bus,Monsoon,6544
Residency Building,2215,8,1,Luxury,Bus,Monsoon,43425
Piprahwa & Ganwaria,2210,6,4,Standard,Bus,Monsoon,24003
Chittaurgarh Fort,1123,9,1,Luxury,Bus,Winter,66110
Group of Monuments (WH) Pattadakal,461,2,7,Luxury,Car,Winter,24870
Bir Singh Palace Datia,1949,9,4,Budget,Car,Winter,44143
Fort Vattakottai,2486,7,6,Standard,Train,Winter,50316
Safdarjung Tomb,95,4,4,Luxury,Car,Summer,30689
Mausoleum,752,2,2,Standard,Car,Summer,11957
Bishnupur Temples,1005,1,4,Budget,Car,Monsoon,6900
Sher Shah's Tomb,1773,6,2,Budget,Car,Winter,27163
"Gol Gumbaz, Vijayapura",2317,4,3,Budget,Car,Monsoon,20466
Palace of Tipu Sultan,2263,7,7,Budget,Car,Monsoon,35206
Aga  Khan Palace Building,1522,8,3,Budget,Train,Monsoon,18436
"Buddhist Monuments, Sanchi",1882,6,1,Budget,Train,Summer,13792
"Gol Gumbaz, Vijayapura",1493,1,5,Standard,Bus,Winter,9538
"Ancient site of Vaishali, Kolhua",1812,9,7,Budget,Bus,Winter,46751
Ellora Caves,2077,9,1,Standard,Car,Winter,44943
"Avantiswamin Temple, Avantipur, District Pulwama",1348,2,2,Luxury,Bus,Summer,17033
"Group of Monuments, Hampi",547,6,1,Budget,Train,Winter,11443
"Cave Temple & Inscriptions, Bhaja",763,3,1,Standard,Train,Winter,12225
Purana Qila,764,3,4,Standard,Bus,Summer,13967
Buddhist Caves,1878,5,6,Luxury,Train,Monsoon,38449
Taj Mahal,72,7,4,Budget,Train,Monsoon,16052
"Western Group of Temples, Khajuraho",1283,6,3,Budget,Bus,Monsoon,14235
Sher Shah's Tomb,498,8,7,Luxury,Car,Winter,85655
Baori at Abhaneri,1530,5,7,Budget,Bus,Winter,28615
Fatehpur Sikri,1017,8,2,Budget,Car,Winter,24041
Metcelf-Hall,571,7,3,Standard,Car,Monsoon,23929
"Gol Gumbaz, Vijayapura",1519,1,1,Budget,Bus,Monsoon,3798
Rock-cut Temples and Sculptures,159,2,2,Budget,Car,Monsoon,4446
"Group of Temples at kiramchi, District Udhampur",1719,6,7,Budget,Car,Monsoon,28943
Roopmati's Pavilion,1108,6,1,Budget,Car,Winter,18491
"Champaner Monuments, Pavagadh",2371,6,7,Budget,Bus,Monsoon,23859
Golconda,1298,6,2,Luxury,Bus,Winter,48534
Buddhist Caves Kanheri,1444,8,5,Budget,Car,Summer,34807
Caves 1 t0 20 Udaygiri Vidisha,1205,8,4,Budget,Bus,Winter,28014
Gwalior Fort,1595,3,1,Luxury,Bus,Winter,26067
Qutub Minar,666,7,7,Budget,Car,Monsoon,26871
"Fort St. Angelo, Kannur",443,2,6,Luxury,Car,Winter,23805
"Kareghar of Ahom Kings, Sibasagar",1942,6,5,Standard,Car,Winter,46677
"Janjira Fort, Murd",2159,4,7,Luxury,Train,Monsoon,34359
Group of Monuments Mamallapuram,646,9,4,Luxury,Train,Monsoon,55713
"Group of Monuments, Hampi",405,9,3,Luxury,Train,Summer,63520
Residency Building,687,7,6,Budget,Train,Winter,32492
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",389,6,6,Luxury,Train,Monsoon,41827
Safdarjung Tomb,182,5,4,Standard,Car,Winter,24287
"Caves, Temples and inscriptions Karla",658,9,7,Standard,Car,Summer,51322
Ancient Site Bhangarh,2453,7,6,Standard,Bus,Winter,46270
"Avantiswamin Temple, Avantipur, District Pulwama",384,9,7,Luxury,Train,Monsoon,63566
Shaniwarwada,1849,2,7,Budget,Train,Monsoon,12654
Kondiote Caves,654,3,3,Standard,Car,Winter,18365
"Western Group of Temples, Khajuraho",1358,1,2,Budget,Train,Winter,8363
"Moovarkoil, Kodumbalur",751,7,4,Luxury,Bus,Winter,61492
Aga  Khan Palace Building,1859,4,4,Budget,Bus,Winter,18173
"Old Fort (Shahi Fort), Jaunpur",1127,1,3,Standard,Car,Winter,14284
Aga  Khan Palace Building,1846,4,6,Budget,Car,Winter,32328
Ancient Site of Vikramshila Antichak,1403,4,1,Budget,Car,Summer,15471
Kotla Feroz Shah,1488,1,5,Luxury,Bus,Monsoon,8658
"Gupta Temple & Varah Temple, Deogarh",496,8,5,Luxury,Bus,Monsoon,52484
Kumbhalgarh Fort,1820,1,1,Standard,Bus,Winter,8746
"Ancient site of Vaishali, Kolhua",243,7,1,Luxury,Train,Monsoon,34195
Buddhist Caves,1274,8,5,Standard,Car,Summer,43395
"Buddhist Monuments, Sanchi",1437,8,1,Standard,Train,Monsoon,20689
Humayun Tomb,1297,6,3,Standard,Train,Winter,30637
Amaravati mahastupa,1356,6,2,Standard,Train,Summer,23096
Aurangabad Caves,1794,3,1,Luxury,Bus,Monsoon,18730
Kalinjar Fort,318,2,3,Luxury,Train,Summer,14303
Buddhist Caves,152,3,6,Standard,Car,Summer,15497
Chittaurgarh Fort,1638,8,2,Standard,Car,Winter,41473
Golconda,1329,9,3,Standard,Train,Winter,42688
Rock-cut Temples and Sculptures,1731,4,2,Budget,Bus,Summer,11377
"Sun temple, Modhera",1362,2,4,Luxury,Bus,Summer,18092
Khan-I-Khana,1972,6,5,Luxury,Car,Summer,59924
Bishnupur Temples,695,8,5,Budget,Car,Winter,34871
Cooch Bihar Palace,78,5,5,Budget,Train,Monsoon,12646
Kondiote Caves,1085,4,2,Standard,Car,Summer,19779
Bishnupur Temples,1155,9,5,Budget,Bus,Winter,35523
"Gingee Fort , Gingee",1044,5,5,Luxury,Train,Winter,50272
"Kareghar of Ahom Kings, Sibasagar",2135,6,2,Standard,Train,Winter,31535
Safdarjung Tomb,294,7,5,Luxury,Bus,Monsoon,45851
Warangal,1332,2,2,Standard,Train,Winter,12083
"Ancient site of Vaishali, Kolhua",979,5,4,Budget,Car,Summer,20394
Agra Fort,801,6,2,Standard,Train,Summer,22096
"Bekal Fort, Pallikkare, Distt. Kasargod",603,5,6,Budget,Train,Winter,23596
"The palace situated in the fort, Burhanpur",1986,5,7,Budget,Bus,Summer,24583
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,465,6,7,Luxury,Train,Summer,53117
Nagarjuna Kunda,1985,3,1,Luxury,Bus,Winter,26216
"Bekal Fort, Pallikkare, Distt. Kasargod",1202,3,1,Budget,Car,Monsoon,10763
"Asokan Rock Edict, Jungadh",872,4,7,Standard,Train,Summer,25182
"Moovarkoil, Kodumbalur",934,2,7,Luxury,Car,Winter,28692
"Old Fort, Sholapur",1810,3,6,Budget,Train,Monsoon,14521
Caves 1 t0 20 Udaygiri Vidisha,1330,9,5,Budget,Bus,Winter,36932
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,1584,6,7,Standard,Train,Winter,44759
"Asokan Rock Edict, Jungadh",2051,2,6,Luxury,Train,Monsoon,18769
Purana Qila,1462,8,6,Standard,Car,Monsoon,38955
Aga  Khan Palace Building,2401,1,2,Luxury,Train,Winter,16662
"Natural Caven with inscription eladipattam, Sittannavasal",1946,4,6,Budget,Bus,Monsoon,15451
Chandragiri Monument,2092,3,3,Luxury,Car,Winter,40796
"The palace situated in the fort, Burhanpur",1930,2,1,Budget,Bus,Monsoon,5884
Chittaurgarh Fort,1610,2,4,Budget,Bus,Winter,10865
"Buddhist Monuments, Sanchi",1134,9,1,Standard,Car,Winter,36512
"Moovarkoil, Kodumbalur",1736,6,3,Luxury,Car,Winter,61337
Agra Fort,1245,5,3,Luxury,Train,Summer,38412
Tomb of Lal Khan,1493,9,4,Standard,Car,Winter,54823
Tirumalai Nayak's Palace Srivilliputhur,2166,5,5,Budget,Train,Summer,22266
Group of Monuments (WH) Pattadakal,209,8,6,Luxury,Train,Monsoon,53452
Jantar Mantar,844,4,3,Luxury,Bus,Monsoon,24418
Charminar,2082,1,5,Budget,Car,Winter,20140
Safdarjung Tomb,524,3,3,Standard,Car,Monsoon,12054
"Temples & Sculpture Shed, lakkumdi",1621,9,4,Budget,Train,Summer,29195
Shaniwarwada,1482,9,1,Luxury,Train,Monsoon,47778
Excavated Remains at sarnath,282,6,1,Budget,Train,Winter,11631
"Avantiswamin Temple, Avantipur, District Pulwama",1508,1,5,Budget,Train,Winter,10793
"Janjira Fort, Murd",1372,7,2,Budget,Train,Monsoon,13674
Kondiote Caves,1780,8,6,Standard,Train,Summer,44556
"Rock-cut Jain Temple, Sittannavasasl",572,6,2,Budget,Train,Monsoon,10659
Daulatabad Fort,1622,2,4,Luxury,Car,Monsoon,20982
Mariam tomb Sikandra,1672,8,1,Standard,Car,Monsoon,26947
"Buddhist Monuments, Sanchi",1724,9,3,Standard,Bus,Monsoon,29562
Bellary Fort,779,8,5,Budget,Bus,Summer,27064
"Gupta Temple & Varah Temple, Deogarh",1914,6,7,Luxury,Train,Summer,58734
Piprahwa & Ganwaria,1572,4,2,Standard,Train,Summer,17912
Buddhist Caves,678,3,2,Standard,Car,Summer,13619
"Buddhist Monuments, Sanchi",2222,9,6,Budget,Car,Summer,46154
Ancient Site of Vikramshila Antichak,164,1,5,Budget,Car,Summer,4433
Chittaurgarh Fort,817,7,2,Luxury,Train,Summer,48524
"Caves, Temples and inscriptions Karla",1070,3,3,Standard,Bus,Summer,14120
Deeg Bhawan,2154,6,3,Standard,Car,Monsoon,29848
"Jaina & Vaishnava Cave, Badami",1623,9,7,Budget,Bus,Winter,47633
mattancherry Palace Museum Kochi,779,3,2,Luxury,Train,Winter,25197
"Sun temple, Modhera",2101,1,6,Luxury,Train,Summer,14710
"Moovarkoil, Kodumbalur",2095,4,2,Budget,Car,Winter,25348
Rani Lakshmi Bai Mahal,1770,1,5,Budget,Train,Winter,11362
Rani Lakshmi Bai Mahal,612,6,5,Standard,Bus,Summer,27669
"Ruined Fort, kangra",906,5,3,Budget,Car,Monsoon,14642
"Bekal Fort, Pallikkare, Distt. Kasargod",656,4,7,Budget,Car,Winter,24847
"Fort Museum, Thirumayam",1103,5,3,Budget,Train,Winter,17848
"Natural Caven with inscription eladipattam, Sittannavasal",361,9,3,Budget,Car,Winter,26730
Ancient Site Bhangarh,937,5,3,Luxury,Train,Summer,38279
Tughluqabad,477,3,5,Luxury,Bus,Winter,28699
Buddhist Caves,935,1,2,Standard,Car,Monsoon,7039
"Natural Caven with inscription eladipattam, Sittannavasal",875,5,4,Budget,Bus,Winter,17297
Gwalior Fort,1953,9,2,Luxury,Car,Winter,83876
Chittaurgarh Fort,216,7,1,Budget,Car,Monsoon,9521
Bellary Fort,865,7,7,Standard,Bus,Summer,39431
Hazarduari Palace,2159,3,1,Standard,Train,Summer,15357
Elephanta Caves,1508,9,2,Luxury,Car,Winter,80324
Baori at Abhaneri,2197,4,1,Standard,Bus,Monsoon,13725
"Ibrahim Rauza, Bijapur",1045,5,6,Budget,Train,Monsoon,17507
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",157,5,1,Luxury,Train,Winter,35757
Group of Monuments (WH) Pattadakal,1713,8,6,Luxury,Bus,Monsoon,57488
"Buddhish Caves, Junagadh",496,2,1,Luxury,Train,Summer,14433
Bishnudol,1966,1,2,Budget,Train,Summer,7739
Rajarani Temple,1737,4,2,Luxury,Train,Winter,36578
Khan-I-Khana,2040,1,6,Budget,Car,Winter,19507
"Ancient site of Vaishali, Kolhua",806,1,3,Standard,Train,Monsoon,4889
Aurangabad Caves,2322,5,6,Luxury,Bus,Monsoon,37697
Roopmati's Pavilion,115,2,2,Budget,Train,Summer,3799
Metcelf-Hall,1532,4,3,Budget,Train,Monsoon,12147
Rani Lakshmi Bai Mahal,1362,5,4,Standard,Train,Summer,25415
Suraj Kund,1771,6,6,Standard,Bus,Monsoon,27543
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,1091,6,1,Standard,Bus,Monsoon,15741
Residency Building,830,1,2,Budget,Train,Summer,5659
Group of Monuments Mamallapuram,597,9,7,Luxury,Car,Winter,97186
"Moovarkoil, Kodumbalur",661,9,6,Luxury,Bus,Monsoon,61163
Taj Mahal,989,9,1,Budget,Car,Winter,21920
mattancherry Palace Museum Kochi,2092,6,7,Standard,Car,Monsoon,38186
Bishnudol,728,4,2,Standard,Train,Summer,14488
Golconda,2253,6,4,Luxury,Car,Winter,69947
"Ancient site of Vaishali, Kolhua",104,4,5,Luxury,Car,Winter,38153
Gawilgarh Fort,1225,4,6,Luxury,Car,Summer,41769
Tughluqabad,77,7,3,Budget,Car,Monsoon,13612
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,2125,7,7,Standard,Train,Winter,53078
"Buddhish Caves, Junagadh",482,6,3,Luxury,Car,Winter,52922
Hauzkhas,1892,6,3,Budget,Train,Winter,23439
"Cave Temple & Inscriptions, Bhaja",419,4,3,Luxury,Car,Summer,30726
Ancient Site Bhangarh,1978,8,7,Budget,Bus,Winter,42000
"Asokan Rock Edict, Jungadh",1926,9,6,Standard,Car,Winter,66114
Ancient Remains on both Udaigiri & Khandagiri Hills,2199,4,5,Standard,Bus,Summer,22794
Aurangabad Caves,1733,2,1,Standard,Car,Summer,16164
Suraj Kund,1859,3,7,Standard,Car,Monsoon,24001
Rock-cut Temples and Sculptures,2201,6,1,Standard,Bus,Monsoon,18070
Elephanta Caves,670,4,7,Luxury,Bus,Winter,42759
Rani Jhansi Fort,1975,3,3,Standard,Car,Summer,23093
Golconda,852,6,2,Budget,Car,Winter,20208
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1400,2,3,Luxury,Car,Winter,28218
"Buddhist Monuments, Sanchi",809,6,4,Standard,Train,Summer,25800
"Cave, Temple and Inscriptions, Junaar, Lenyadri",648,5,2,Budget,Train,Monsoon,9555
"Ruined Fort, kangra",182,3,2,Budget,Car,Winter,7556
Gawilgarh Fort,1468,6,1,Standard,Train,Monsoon,17704
Ancient Buddhist Site known as Chaukhandi stupa,564,2,5,Standard,Bus,Winter,12449
Temple of Laxman and Old sites including sculptures sirpur,2328,9,2,Luxury,Train,Summer,64728
"Group of Monuments, Hampi",991,6,7,Luxury,Train,Summer,54533
Group of Monuments Mamallapuram,744,6,7,Budget,Bus,Monsoon,20492
Fort Vattakottai,646,9,4,Luxury,Car,Summer,70871
Ancient Site Bhangarh,1490,7,7,Luxury,Train,Winter,76887
Ellora Caves,1563,9,1,Luxury,Bus,Monsoon,47048
mattancherry Palace Museum Kochi,2026,4,3,Standard,Train,Summer,21082
"Group of Temples at kiramchi, District Udhampur",1670,7,3,Luxury,Car,Winter,70041
Roopmati's Pavilion,1546,8,1,Standard,Car,Summer,31998
"Fort on Rock, Dindigual",1568,3,5,Luxury,Train,Summer,29588
Akbar Tomb Sikandra,1952,9,7,Budget,Train,Winter,51066
Tomb of Rabia Durani (Bibi ka Maqbara),234,6,4,Budget,Bus,Summer,15738
"Janjira Fort, Murd",1920,8,3,Budget,Train,Winter,29412
